"","Metabolic_activity","compound","taxonomy.ID"
"527","Production (export)","C00246","Bacteroides eggerthii"
"528","Production (export)","C00246","Bacteroides finegoldii"
"529","Production (export)","C00246","Bacteroides fragilis"
"530","Production (export)","C00246","Bacteroides helcogenes"
"531","Production (export)","C00246","Bacteroides intestinalis"
"532","Production (export)","C00246","Bacteroides ovatus"
"533","Production (export)","C00246","[Bacteroides] pectinophilus"
"534","Production (export)","C00246","Phocaeicola plebeius"
"535","Production (export)","C00246","Phocaeicola salanitronis"
"536","Production (export)","C00246","Bacteroides stercoris"
"537","Production (export)","C00246","Bacteroides thetaiotaomicron"
"538","Production (export)","C00246","Bacteroides uniformis"
"539","Production (export)","C00246","Phocaeicola vulgatus"
"540","Production (export)","C00246","Bacteroides xylanisolvens"
"541","Production (export)","C00246","Bifidobacterium longum"
"542","Production (export)","C00246","Butyrivibrio crossotus"
"543","Production (export)","C00246","Butyrivibrio fibrisolvens"
"544","Production (export)","C00246","Butyrivibrio proteoclasticus"
"545","Production (export)","C00246","Catenibacterium mitsuokai"
"546","Production (export)","C00246","Clostridium acetobutylicum"
"547","Production (export)","C00246","Enterocloster asparagiformis"
"548","Production (export)","C00246","Intestinibacter bartlettii"
"549","Production (export)","C00246","Clostridium beijerinckii"
"550","Production (export)","C00246","Enterocloster bolteae"
"551","Production (export)","C00246","Clostridium botulinum"
"552","Production (export)","C00246","Clostridium butyricum"
"553","Production (export)","C00246","Clostridium carboxidivorans"
"554","Production (export)","C00246","Ruminiclostridium cellulolyticum"
"555","Production (export)","C00246","Clostridium cellulovorans"
"557","Production (export)","C00246","Clostridioides difficile"
"558","Production (export)","C00246","Hungatella hathewayi"
"559","Production (export)","C00246","Peptacetobacter hiranonis"
"560","Production (export)","C00246","[Clostridium] hylemonae"
"561","Production (export)","C00246","Clostridium kluyveri"
"562","Production (export)","C00246","[Clostridium] leptum"
"563","Production (export)","C00246","Clostridium ljungdahlii"
"564","Production (export)","C00246","[Clostridium] methylpentosum"
"565","Production (export)","C00246","Tyzzerella nexilis"
"566","Production (export)","C00246","Clostridium novyi"
"567","Production (export)","C00246","Ruminiclostridium papyrosolvens"
"568","Production (export)","C00246","Clostridium perfringens"
"569","Production (export)","C00246","Lachnoclostridium phytofermentans"
"570","Production (export)","C00246","Lacrimispora saccharolytica"
"571","Production (export)","C00246","[Clostridium] scindens"
"572","Production (export)","C00246","Clostridium sporogenes"
"573","Production (export)","C00246","Acetoanaerobium sticklandii"
"574","Production (export)","C00246","[Clostridium] symbiosum"
"575","Production (export)","C00246","Clostridium tetani"
"576","Production (export)","C00246","Acetivibrio thermocellus"
"578","Production (export)","C00246","Coprococcus catus"
"579","Production (export)","C00246","Coprococcus comes"
"580","Production (export)","C00246","Coprococcus eutactus"
"581","Consumption (import)","C00246","Desulfarculus baarsii"
"582","Consumption (import)","C00246","Desulfofarcimen acetoxidans"
"583","Consumption (import)","C00246","Desulfotomaculum nigrificans"
"584","Consumption (import)","C00246","Desulforamulus reducens"
"585","Consumption (import)","C00246","Pseudodesulfovibrio aespoeensis"
"586","Consumption (import)","C00246","Desulfovibrio desulfuricans"
"587","Consumption (import)","C00246","Solidesulfovibrio fructosivorans"
"588","Consumption (import)","C00246","Solidesulfovibrio magneticus"
"589","Consumption (import)","C00246","Desulfovibrio piger"
"590","Consumption (import)","C00246","Maridesulfovibrio salexigens"
"591","Consumption (import)","C00246","Desulfovibrio vulgaris"
"592","Production (export)","C00246","Enterococcus faecalis"
"593","Production (export)","C00246","[Eubacterium] cellulosolvens"
"594","Production (export)","C00246","Lachnospira eligens"
"595","Production (export)","C00246","Anaerobutyricum hallii"
"596","Production (export)","C00246","Eubacterium limosum"
"597","Production (export)","C00246","[Eubacterium] rectale"
"598","Production (export)","C00246","Lachnoanaerobaculum saburreum"
"599","Production (export)","C00246","[Eubacterium] saphenum"
"600","Production (export)","C00246","[Eubacterium] siraeum"
"601","Production (export)","C00246","Eubacterium ventriosum"
"602","Production (export)","C00246","Faecalibacterium prausnitzii"
"603","Production (export)","C00246","Fusobacterium gonidiaformans"
"604","Production (export)","C00246","Fusobacterium mortiferum"
"605","Production (export)","C00246","Fusobacterium nucleatum"
"606","Production (export)","C00246","Fusobacterium periodonticum"
"607","Production (export)","C00246","Fusobacterium ulcerans"
"608","Production (export)","C00246","Fusobacterium varium"
"609","Consumption (import)","C00246","Geobacter metallireducens"
"610","Production (export)","C00246","Megasphaera micronuciformis"
"611","Production (export)","C00246","Odoribacter splanchnicus"
"612","Production (export)","C00246","Pelobacter propionicus"
"613","Consumption (import)","C00246","Pelotomaculum thermopropionicum"
"614","Production (export)","C00246","Peptoniphilus harei"
"615","Production (export)","C00246","Peptoniphilus lacrimalis"
"616","Consumption (import)","C00246","Prevotella ruminicola"
"617","Production (export)","C00246","Roseburia intestinalis"
"618","Production (export)","C00246","Roseburia inulinivorans"
"619","Production (export)","C00246","Subdoligranulum variabile"
"620","Consumption (import)","C00246","Syntrophobacter fumaroxidans"
"621","Consumption (import)","C00246","Syntrophobotulus glycolicus"
"622","Consumption (import)","C00246","Syntrophomonas wolfei"
"623","Consumption (import)","C00246","Syntrophothermus lipocalidus"
"624","Consumption (import)","C00246","Syntrophus aciditrophicus"
"626","Production (export)","C01672","Campylobacter jejuni"
"627","Production (export)","C01672","Lacrimispora saccharolytica"
"628","Production (export)","C01672","Enterobacter cloacae"
"629","Production (export)","C01672","Escherichia coli"
"630","Consumption (import)","C01585","Acidovorax avenae"
"631","Consumption (import)","C01585","Acidovorax delafieldii"
"632","Production (export)","C01585","Clostridium kluyveri"
"633","Consumption (import)","C01585","Syntrophomonas wolfei"
"634","Consumption (import)","C00237","Acetohalobium arabaticum"
"635","Consumption (import)","C00237","Archaeoglobus fulgidus"
"637","Consumption (import)","C00237","Methanosarcina acetivorans"
"638","Consumption (import)","C00237","Methanosarcina barkeri"
"639","Consumption (import)","C00237","Methanosarcina mazei"
"640","Consumption (import)","C00237","Methanothermobacter marburgensis"
"641","Consumption (import)","C00237","Methanothermobacter thermautotrophicus"
"642","Consumption (import)","C00237","Moorella thermoacetica"
"643","Consumption (import)","C00185","Acetivibrio cellulolyticus"
"644","Consumption (import)","C00185","Actinobacillus succinogenes"
"645","Consumption (import)","C00185","Aeromicrobium marinum"
"646","Consumption (import)","C00185","Aeromonas salmonicida"
"647","Consumption (import)","C00185","Anaerotruncus colihominis"
"648","Consumption (import)","C00185","Bacteroides ovatus"
"649","Consumption (import)","C00185","Bacteroides thetaiotaomicron"
"650","Consumption (import)","C00185","Bacteroides uniformis"
"651","Consumption (import)","C00185","Bacteroides xylanisolvens"
"652","Consumption (import)","C00185","Bifidobacterium adolescentis"
"653","Consumption (import)","C00185","Bifidobacterium breve"
"654","Consumption (import)","C00185","Blautia hydrogenotrophica"
"655","Consumption (import)","C00185","Butyrivibrio fibrisolvens"
"656","Consumption (import)","C00185","Butyrivibrio proteoclasticus"
"657","Consumption (import)","C00185","Catenibacterium mitsuokai"
"658","Consumption (import)","C00185","Clostridium acetobutylicum"
"659","Consumption (import)","C00185","Ruminiclostridium cellulolyticum"
"660","Consumption (import)","C00185","Acetivibrio thermocellus"
"661","Consumption (import)","C00185","Collinsella aerofaciens"
"662","Consumption (import)","C00185","Collinsella intestinalis"
"663","Consumption (import)","C00185","Collinsella stercoris"
"664","Consumption (import)","C00185","Coprococcus eutactus"
"665","Consumption (import)","C00185","[Eubacterium] rectale"
"666","Consumption (import)","C00185","[Eubacterium] siraeum"
"667","Consumption (import)","C00185","Fibrobacter succinogenes"
"668","Consumption (import)","C00185","Flavobacterium johnsoniae"
"669","Consumption (import)","C00185","Holdemania filiformis"
"670","Consumption (import)","C00185","Klebsiella pneumoniae"
"671","Consumption (import)","C00185","Leptotrichia buccalis"
"672","Consumption (import)","C00185","Pseudoleptotrichia goodfellowii"
"673","Consumption (import)","C00185","Leptotrichia hofstadii"
"674","Consumption (import)","C00185","Marvinbryantia formatexigens"
"675","Consumption (import)","C00185","Megamonas hypermegale"
"676","Consumption (import)","C00185","Parabacteroides distasonis"
"677","Consumption (import)","C00185","Prevotella copri"
"678","Consumption (import)","C00185","Prevotella ruminicola"
"679","Consumption (import)","C00185","Pyrococcus furiosus"
"680","Consumption (import)","C00185","Roseburia intestinalis"
"681","Consumption (import)","C00185","Ruminococcus albus"
"682","Consumption (import)","C00185","Ruminococcus flavefaciens"
"683","Consumption (import)","C00185","Blautia obeum"
"684","Consumption (import)","C00185","Streptococcus equinus"
"685","Consumption (import)","C00185","Subdoligranulum variabile"
"686","Consumption (import)","C00185","Saccharolobus solfataricus"
"687","Consumption (import)","C02013, C06217, C06218, C06219 ","Bifidobacterium breve"
"688","Consumption (import)","C02013, C06217, C06218, C06219 ","Acetivibrio thermocellus"
"689","Consumption (import)","C02013, C06217, C06218, C06219 ","Fibrobacter succinogenes"
"690","Consumption (import)","C02013, C06217, C06218, C06219 ","Pyrococcus furiosus"
"691","Macromolecule degradation","C00760","Acetivibrio cellulolyticus"
"692","Macromolecule degradation","C00760","Acidothermus cellulolyticus"
"693","Macromolecule degradation","C00760","Actinosynnema mirum"
"694","Macromolecule degradation","C00760","Bacillus pumilus"
"695","Macromolecule degradation","C00760","Bacteroides cellulosilyticus"
"696","Macromolecule degradation","C00760","Butyrivibrio fibrisolvens"
"697","Macromolecule degradation","C00760","Caldicellulosiruptor bescii"
"698","Macromolecule degradation","C00760","Caldicellulosiruptor saccharolyticus"
"699","Macromolecule degradation","C00760","Cellulomonas flavigena"
"700","Macromolecule degradation","C00760","Cellulosilyticum lentocellum"
"701","Macromolecule degradation","C00760","Clostridium acetobutylicum"
"702","Macromolecule degradation","C00760","Ruminiclostridium cellulolyticum"
"703","Macromolecule degradation","C00760","Clostridium cellulovorans"
"704","Macromolecule degradation","C00760","Ruminiclostridium papyrosolvens"
"705","Macromolecule degradation","C00760","Acetivibrio thermocellus"
"706","Macromolecule degradation","C00760","Cytophaga hutchinsonii"
"707","Macromolecule degradation","C00760","Enterococcus gallinarum"
"708","Macromolecule degradation","C00760","[Eubacterium] cellulosolvens"
"709","Macromolecule degradation","C00760","Fibrobacter succinogenes"
"710","Macromolecule degradation","C00760","Marvinbryantia formatexigens"
"711","Macromolecule degradation","C00760","Prevotella ruminicola"
"712","Macromolecule degradation","C00760","Rhodothermus marinus"
"713","Macromolecule degradation","C00760","Ruminococcus albus"
"714","Macromolecule degradation","C00760","Ruminococcus flavefaciens"
"715","Macromolecule degradation","C00760","Spirochaeta thermophila"
